p,row_pooling_n,row_pooling_cost,grid_n,grid_cost,winner,best_cost
0.03,6,0.3336946617376668,13,0.2747666787693763,grid,0.2747666787693763
0.035,6,0.35912697058465115,12,0.3031108828929002,grid,0.3031108828929002
0.04,6,0.3839088769706668,11,0.3296618572387313,grid,0.3296618572387313
0.045,5,0.4056409314031251,10,0.35491821810411517,grid,0.35491821810411517
0.05,5,0.42621906250000025,9,0.37984373799218113,grid,0.37984373799218113
0.055,5,0.4463685001593752,9,0.4024336096037536,grid,0.4024336096037536
0.06,5,0.46609597760000027,9,0.4255124511490439,grid,0.4255124511490439
0.065,5,0.48540815716562485,8,0.44668497122191875,grid,0.44668497122191875
0.07,4,0.5019479900000002,8,0.46753724272153424,grid,0.46753724272153424
0.075,4,0.5179058593749999,8,0.48862237528989255,grid,0.48862237528989255
0.08,4,0.5336070399999999,7,0.5082741598838172,grid,0.5082741598838172
0.085,4,0.5490542993749999,7,0.5268988661101808,grid,0.5268988661101808
0.09,4,0.5642503899999999,7,0.545644940546046,grid,0.545644940546046
0.095,4,0.579198049375,7,0.5644629018325124,grid,0.5644629018325124
0.1,4,0.5939,7,0.5833070685471856,grid,0.5833070685471856
0.105,4,0.6083589493749999,6,0.6005494927359342,grid,0.6005494927359342
0.11,4,0.62257759,6,0.6168880587880323,grid,0.6168880587880323
0.115,4,0.6365585993749999,6,0.633249124093832,grid,0.633249124093832
0.12,4,0.65030464,6,0.6496060186536072,grid,0.6496060186536072
0.125,3,0.6634114583333333,6,0.6659338252696518,row_pooling,0.6634114583333333
0.13,3,0.6748303333333334,6,0.6822093016618823,row_pooling,0.6748303333333334
0.135,3,0.6861187083333333,6,0.6984108053042677,row_pooling,0.6861187083333333
0.14,3,0.6972773333333333,6,0.7145182209050398,row_pooling,0.6972773333333333
0.145,3,0.7083069583333335,5,0.7303517229387195,row_pooling,0.7083069583333335
0.15,3,0.7192083333333334,5,0.7442063212832032,row_pooling,0.7192083333333334
0.155,3,0.7299822083333334,5,0.7580238926467918,row_pooling,0.7299822083333334
0.16,3,0.7406293333333334,5,0.7717918637309298,row_pooling,0.7406293333333334
0.165,3,0.7511504583333335,5,0.7854983488088079,row_pooling,0.7511504583333335
0.17,3,0.7615463333333334,5,0.7991321266675405,row_pooling,0.7615463333333334
0.175,3,0.7718177083333333,5,0.8126826181104776,row_pooling,0.7718177083333333
0.18,3,0.7819653333333332,5,0.8261398640097078,row_pooling,0.7819653333333332
0.185,3,0.7919899583333334,5,0.8394945038989332,row_pooling,0.7919899583333334
0.19,3,0.8018923333333332,5,0.852737755096999,row_pooling,0.8018923333333332
0.195,3,0.8116732083333333,5,0.865861392352504,row_pooling,0.8116732083333333
0.2,3,0.8213333333333332,5,0.878857728,row_pooling,0.8213333333333332
0.205,3,0.8308734583333333,5,0.8917195926184401,row_pooling,0.8308734583333333
0.21,3,0.8402943333333333,5,0.9044403161826183,row_pooling,0.8402943333333333
0.215,3,0.8495967083333333,5,0.9170137096984797,row_pooling,0.8495967083333333
0.22,3,0.8587813333333332,5,0.9294340473132845,row_pooling,0.8587813333333332
0.225,3,0.8678489583333333,5,0.9416960488917199,row_pooling,0.8678489583333333
0.23,3,0.8768003333333332,5,0.9537948630491715,row_pooling,0.8768003333333332
0.235,3,0.8856362083333333,5,0.9657260506334753,row_pooling,0.8856362083333333
0.24,3,0.8943573333333332,5,0.9774855686465782,row_pooling,0.8943573333333332
0.245,3,0.9029644583333334,5,0.98906975459765,row_pooling,0.9029644583333334
0.25,3,0.9114583333333333,5,1.0004753112792968,row_pooling,0.9114583333333333
0.255,3,0.9198397083333334,4,1.0112723472971523,row_pooling,0.9198397083333334
0.26,3,0.9281093333333332,4,1.02178128273024,row_pooling,0.9281093333333332
0.265,3,0.9362679583333333,4,1.0321946690875596,row_pooling,0.9362679583333333
0.27,3,0.9443163333333333,60,1.0333333207324322,row_pooling,0.9443163333333333
0.275,3,0.9522552083333333,60,1.0333333249905612,row_pooling,0.9522552083333333
0.28,3,0.9600853333333332,60,1.0333333278255128,row_pooling,0.9600853333333332
0.285,3,0.9678074583333331,60,1.0333333297076281,row_pooling,0.9678074583333331
0.29,3,0.9754223333333334,60,1.0333333309535857,row_pooling,0.9754223333333334
0.295,3,0.9829307083333332,60,1.0333333317760165,row_pooling,0.9829307083333332
0.3,3,0.9903333333333333,60,1.0333333323172897,row_pooling,0.9903333333333333
0.305,3,0.9976309583333332,60,1.03333333267246,row_pooling,0.9976309583333332
0.31,3,1.0048243333333333,60,1.033333332904809,row_pooling,1.0048243333333333
0.315,3,1.0119142083333332,60,1.0333333330563432,row_pooling,1.0119142083333332
0.32,60,1.0166666665774318,60,1.0333333331548635,row_pooling,1.0166666665774318
0.325,60,1.0166666666093571,60,1.0333333332187145,row_pooling,1.0166666666093571
0.33,60,1.0166666666299817,60,1.0333333332599635,row_pooling,1.0166666666299817
0.335,60,1.0166666666432622,60,1.0333333332865244,row_pooling,1.0166666666432622
0.34,60,1.0166666666517856,60,1.033333333303571,row_pooling,1.0166666666517856
0.345,60,1.0166666666572375,60,1.0333333333144747,row_pooling,1.0166666666572375
0.35,60,1.0166666666607127,60,1.0333333333214256,row_pooling,1.0166666666607127
